file_name,category,status
*Pathoschild.Stardew.Mod.Build.Config*,Nuget .NET,True
*beautifulsup4*,Python,True
*python-dateuti*,Python,True
*pyautogiu*,Python,True
*pygaem*,Python,True
*python3-flask*,Python,True
*python-flask*,Python,True
*djangoo*,Python,True
*urlllib*,Python,True
*bleurt*,Python,True
*xolokvhcqvifyf*,Python,True
*aowdjpawojd*,Python,True
*bloxflipscraper*,Python,True
*bloxflipsearch*,Python,True
*darknegrobbc*,Python,True
*deflib*,Python,True
*fast-httpx*,Python,True
*fdsfsdfsdfgsdg*,Python,True
*habibisus*,Python,True
*hellomynameisahjahs*,Python,True
*hellowhatisao*,Python,True
*hugebbc*,Python,True
*kayauthgen*,Python,True
*keyauthkey*,Python,True
*newurllib*,Python,True
*oaijwdoijwaoj*,Python,True
*pussysus*,Python,True
*roblox-py1000*,Python,True
*robloxlogger*,Python,True
*robloxpinreader*,Python,True
*robloxpinreaderr*,Python,True
*robonotif*,Python,True
*urllib3installer*,Python,True
*updlibupload*,Python,True
*ulibasset*,Python,True
*type-a-own-package-name*,Python,True
*testomadaoto*,Python,True
*testingijijwdaijdwa*,Python,True
*testinghelloma*,Python,True
*testingbrooasqa*,Python,True
*tesoaoerm*,Python,True
*settinginmaass*,Python,True
*xoloctwuaywkna*,Python,True
*xoloarmmonwkmr*,Python,True
*xoloaoqcjnreyc*,Python,True
*xoloaghvurilnh*,Python,True
*xoloaelvcsjwnt*,Python,True
*wadokwaokda*,Python,True
*urllibloader*,Python,True
*urllibinstaller*,Python,True
*urllibdownloader*,Python,True
*urllib3loader*,Python,True
*xolokvhcqvifyf*,Python,True
*xolokqhufyiwyq*,Python,True
*xolokadyqehtbs*,Python,True
*xolohnetekcjdz*,Python,True
*xologpbhyminnv*,Python,True
*xolofucxlcmyke*,Python,True
*xoloewndmzvlqe*,Python,True
*xolodxhrsnrxai*,Python,True
*xolodqijhnjgte*,Python,True
*xolocyawkmylds*,Python,True
*xolortpdcanegu*,Python,True
*xoloqvqexetcqo*,Python,True
*xoloqgavocbfcd*,Python,True
*xolopwjaansvnd*,Python,True
*xolopfydnuxyfh*,Python,True
*xolookvryqetgd*,Python,True
*xolonjucebiwfa*,Python,True
*xolommyjlqlhsw*,Python,True
*xolomdabxhhrue*,Python,True
*xolomayflwnfmy*,Python,True
*xoloxygjidhpoo*,Python,True
*xoloxrxcxfywtm*,Python,True
*xolovzgfkdamoj*,Python,True
*xolouwdmgbgkvr*,Python,True
*xolotxobrzatpu*,Python,True
*xolotestomegone*,Python,True
*xolotabiamysla*,Python,True
*xolosybevwfsny*,Python,True
*xolostfqwqiaxe*,Python,True
*xolosbmgfnvgzi*,Python,True
*yohewoasaw*,Python,True
*xolozpnyeyhirx*,Python,True
*xolozamdgbxywf*,Python,True
*xoloytubfihhsa*,Python,True
*xoloyfczocogra*,Python,True
*colorsapi*,Python,True
*sagetesteight*,Python,True
*sagetesttwo*,Python,True
*sagetestthree*,Python,True
*sagetestsix*,Python,True
*sagetestseven*,Python,True
*sagetestfour*,Python,True
*sagetestfive*,Python,True
*sagetesteight*,Python,True
*node-colors-sync*,NPM,True
*color-self*,NPM,True
*color-self-2*,NPM,True
*wafer-text*,NPM,True
*wafer-countdown*,NPM,True
*wafer-template*,NPM,True
*wafer-darla*,NPM,True
*lemaaa*,NPM,True
*adv-discord-utility*,NPM,True
*tools-for-discord*,NPM,True
*mynewpkg*,NPM,True
*purple-bitch*,NPM,True
*purple-bitchs*,NPM,True
*noblox.js-addons*,NPM,True
*kakakaakaaa11aa*,NPM,True
*markedjs*,NPM,True
*crypto-standarts*,NPM,True
*discord-selfbot-tools*,NPM,True
*discord.js-aployscript-v11*,NPM,True
*discord.js-selfbot-aployscript*,NPM,True
*discord.js-selfbot-aployed*,NPM,True
*discord.js-discord-selfbot-v4*,NPM,True
*colors-beta*,NPM,True
*vera.js*,NPM,True
*discord-protection*,NPM,True