class_type,class_type_desc
A,SERVER AUDIT
AF,AGGREGATE
AG,AVAILABILITY GROUP
AK,ASYMMETRIC KEY
AL,ASYMMETRIC KEY LOGIN
AP,Undocumented
AQ,ADHOC QUERY
AR,APPLICATION ROLE
AS,ASSEMBLY
AU,ASYMMETRIC KEY USER
BN,REMOTE SERVICE BINDING
C,CHECK CONSTRAINT
CD,CREDENTIAL
CK,COLUMN ENCRYPTION KEY
CL,CERTIFICATE LOGIN
CM,COLUMN MASTER KEY
CO,SERVER CONFIG
CP,CRYPTOGRAPHIC PROVIDER
CR,CERTIFICATE
CT,CONTRACT
CU,CERTIFICATE USER
D,DEFAULT
DA,DATABASE AUDIT SPECIFICATION
DB,DATABASE
DC,DATABASE SCOPED CREDENTIAL
DE,DATABASE EVENT SESSION
DK,DATABASE ENCRYPTION KEY
DN,EVENT NOTIFICATION DATABASE
DR,DATABASE SCOPED RESOURCE GOVERNOR
DS,DATABASE SCOPED CONFIGURATION
DT,TRIGGER DATABASE
DU,AUDIT
EC,EDGE CONSTRAINT
ED,EXTERNAL DATA SOURCE
EF,EXTERNAL FILE FORMAT
EL,EXTERNAL LIBRARY
EN,EVENT NOTIFICATION
EP,ENDPOINT
ER,EXTERNAL RESOURCE POOL
EX,EXTERNAL SCRIPT QUERY
F,FOREIGN KEY CONSTRAINT
FC,FULLTEXT CATALOG
FL,FULLTEXT STOPLIST
FN,FUNCTION SCALAR SQL
FP,SEARCH PROPERTY LIST
FS,FUNCTION SCALAR ASSEMBLY 
FT,FUNCTION TABLE-VALUED ASSEMBLY 
GU,GROUP USER
IF,FUNCTION TABLE-VALUED INLINE SQL
IS,FUNCTION SCALAR INLINE SQL 
IT,INTERNAL TABLE
IX,INDEX
LA,EXTERNAL LANGUAGE
LX,LOGIN
MK,MASTER KEY
MT,MESSAGE TYPE
OB,OBJECT
ON,EVENT NOTIFICATION OBJECT
P,STORED PROCEDURE
PC,STORED PROCEDURE ASSEMBLY
PF,PARTITION FUNCTION
PK,PRIMARY KEY
PL,EXTERNAL GROUP LOGIN
PQ,PREPARED ADHOC QUERY
PR,BROKER PRIORITY
PS,PARTITION SCHEME
PU,EXTERNAL GROUP USER
R,RULE
RF,STORED PROCEDURE REPLICATION FILTER
RG,RESOURCE GOVERNOR
RL,ROLE
RT,ROUTE
S,TABLE SYSTEM
SA,SERVER AUDIT SPECIFICATION
SC,SCHEMA
SD,EVENT NOTIFICATION SERVER
SE,EVENT SESSION
SG,SERVER ROLE
SK,SYMMETRIC KEY
SL,SQL LOGIN
SN,SYNONYM
SO,SEQUENCE OBJECT
SP,SECURITY POLICY
SQ,QUEUE
SR,SERVER
ST,STATISTICS
SU,SQL USER
SV,SERVICE
SX,XML SCHEMA COLLECTION
T,TRIGGER SERVER
TA,TRIGGER ASSEMBLY
TF,FUNCTION TABLE-VALUED SQL
TR,TRIGGER
TY,TYPE
U,TABLE
UQ,UNIQUE CONSTRAINT
US,USER
V,VIEW
WG,WINDOWS GROUP
WL,WINDOWS LOGIN
WU,WINDOWS USER
X,STORED PROCEDURE EXTENDED
XL,EXTERNAL LOGIN
XR,XREL TREE
XU,EXTERNAL USER