ip,blocked
0.0.0.0/8,1
1.10.16.0/20,1
1.19.0.0/16,1
1.32.128.0/18,1
2.58.176.0/22,1
2.59.200.0/22,1
3.90.198.217,1
5.44.248.0/21,1
5.57.208.0/21,1
5.63.155.65,1
5.79.79.211,1
5.134.128.0/19,1
5.157.84.170,1
5.172.176.0/21,1
5.180.4.0/22,1
5.180.102.147,1
5.183.60.0/22,1
5.188.10.0/23,1
5.188.86.0/24,1
10.0.0.0/8,1
13.90.196.81,1
14.128.136.68,1
14.192.4.35,1
18.213.250.117,1
18.215.128.143,1
18.218.40.17,1
18.224.184.93,1
23.89.20.107,1
23.89.102.123,1
23.89.102.127,1
23.107.49.18,1
23.107.124.53,1
23.110.15.74,1
23.135.225.0/24,1
23.227.38.65,1
23.229.213.5,1
23.231.218.195,1
23.236.62.147,1
24.233.0.0/19,1
27.112.32.0/19,1
27.124.64.0/20,1
27.126.160.0/20,1
27.146.0.0/16,1
31.11.32.144,1
31.14.65.0/24,1
31.14.66.0/23,1
31.40.164.0/22,1
31.132.36.0/22,1
31.184.237.0/24,1
31.186.169.41,1
31.217.192.121,1
31.217.248.0/21,1
31.222.224.0/19,1
34.197.76.50,1
34.206.12.234,1
34.225.182.233,1
35.169.58.188,1
35.186.238.101,1
35.187.36.248,1
35.209.70.88,1
35.214.186.61,1
35.224.11.86,1
35.226.69.129,1
36.0.8.0/21,1
36.37.48.0/20,1
36.50.0.0/16,1
36.116.0.0/16,1
36.119.0.0/16,1
37.9.42.0/24,1
37.16.72.0/21,1
37.77.144.0/21,1
37.140.216.0/21,1
37.140.240.0/20,1
37.152.88.55,1
37.156.64.0/23,1
37.156.173.0/24,1
37.252.220.0/22,1
38.39.160.0/20,1
40.255.0.62,1
41.77.240.0/21,1
41.93.128.0/17,1
42.0.32.0/19,1
42.1.128.0/17,1
42.96.0.0/18,1
42.128.0.0/12,1
42.160.0.0/12,1
42.194.128.0/17,1
42.208.0.0/12,1
43.57.0.0/16,1
43.181.0.0/16,1
43.227.184.0/22,1
43.228.164.0/22,1
43.228.172.0/22,1
43.229.52.0/22,1
43.230.112.86,1
43.230.142.125,1
43.231.130.0/24,1
43.236.0.0/16,1
43.241.196.105,1
43.241.244.0/22,1
43.248.56.0/22,1
43.250.116.0/22,1
43.250.180.0/22,1
43.252.80.0/22,1
45.4.128.0/22,1
45.4.136.0/22,1
45.6.48.0/22,1
45.9.148.0/22,1
45.9.156.0/22,1
45.11.184.0/21,1
45.33.2.79,1
45.33.23.183,1
45.38.3.236,1
45.41.0.0/18,1
45.41.192.0/18,1
45.43.128.0/18,1
45.56.79.23,1
45.59.128.0/18,1
45.65.32.0/22,1
45.65.56.0/23,1
45.65.112.0/22,1
45.65.120.0/22,1
45.65.188.0/22,1
45.77.226.209,1
45.79.19.196,1
45.80.216.0/22,1
45.80.248.0/22,1
45.82.253.244,1
45.86.20.0/22,1
45.88.202.115,1
45.95.40.0/22,1
45.95.168.0/24,1
45.114.106.55,1
45.114.240.0/22,1
45.115.16.0/22,1
45.117.52.0/22,1
45.117.132.0/22,1
45.117.208.0/22,1
45.117.232.0/22,1
45.121.204.0/22,1
45.123.140.0/22,1
45.126.40.0/22,1
45.129.33.0/24,1
45.130.100.0/22,1
45.135.193.0/24,1
45.136.245.235,1
45.147.148.0/22,1
45.150.108.0/22,1
45.153.203.0/24,1
45.159.56.0/22,1
45.190.220.0/24,1
45.202.208.234,1
45.204.37.242,1
45.204.41.153,1
45.220.64.0/18,1
45.227.61.0/24,1
45.227.255.0/24,1
45.249.224.0/22,1
46.18.104.0/21,1
46.28.105.107,1
46.30.215.126,1
46.30.215.145,1
46.30.215.194,1
46.102.177.0/24,1
46.102.178.0/23,1
46.102.180.0/24,1
46.102.182.0/23,1
46.102.190.0/24,1
46.148.112.0/24,1
46.148.120.0/24,1
46.148.127.0/24,1
46.165.220.141,1
46.165.220.142/31,1
46.165.220.144/29,1
46.165.220.152/30,1
46.165.221.136,1
46.165.221.144,1
46.165.221.154,1
46.165.229.164/30,1
46.165.254.193,1
46.165.254.194/31,1
46.165.254.196/30,1
46.165.254.200/29,1
46.165.254.208/30,1
46.165.254.212/31,1
46.165.254.214,1
46.174.204.0/22,1
46.226.120.0/21,1
46.232.192.0/21,1
46.242.242.252,1
46.249.43.105,1
46.254.104.0/21,1
49.156.160.0/19,1
49.213.32.0/19,1
49.238.64.0/18,1
50.63.103.1,1
50.87.145.146,1
50.87.146.132,1
50.93.202.39,1
50.118.129.167,1
52.0.217.44,1
52.4.209.250,1
52.58.78.16,1
52.63.118.238,1
52.218.36.4,1
52.218.98.4,1
52.218.100.36,1
54.72.11.253,1
54.88.108.200,1
54.208.77.124,1
58.2.0.0/17,1
58.14.0.0/15,1
58.145.176.0/21,1
59.153.60.0/22,1
59.188.232.88,1
59.191.232.0/21,1
59.254.0.0/15,1
60.233.0.0/16,1
61.11.224.0/19,1
61.45.251.0/24,1
62.97.115.37,1
62.112.16.0/21,1
62.122.184.0/21,1
62.129.200.14,1
62.149.128.72,1
62.149.128.74,1
62.149.128.151,1
62.149.128.154,1
62.149.128.157,1
62.149.128.160,1
62.149.128.163,1
62.149.128.166,1
62.149.142.219,1
62.153.122.95,1
62.204.32.0/19,1
62.233.32.0/19,1
63.141.34.0/23,1
63.141.36.0/23,1
63.251.106.29,1
64.21.149.167,1
64.68.200.46,1
64.95.103.189,1
64.135.149.51,1
64.207.140.209,1
64.235.41.10,1
65.127.154.211,1
66.29.58.119,1
66.96.149.31,1
66.175.208.22,1
67.20.112.155,1
67.23.117.19,1
67.59.157.51,1
67.213.112.0/20,1
67.229.184.183,1
68.66.216.25,1
68.71.58.245,1
69.15.64.241,1
69.41.162.77,1
69.87.176.0/20,1
69.103.233.16,1
69.191.176.179,1
69.195.124.132,1
72.5.161.7,1
72.26.218.70,1
72.26.218.83,1
74.114.148.0/22,1
74.208.215.45,1
74.208.236.219,1
74.220.199.8,1
75.5.255.185,1
77.36.62.0/24,1
77.72.80.0/21,1
77.81.84.0/23,1
77.81.86.0/24,1
77.81.89.0/24,1
77.81.90.0/23,1
77.87.120.0/21,1
77.111.240.32,1
77.111.240.52,1
77.246.240.0/21,1
78.24.9.52,1
78.46.156.194,1
78.47.106.15,1
79.110.22.0/24,1
79.110.224.0/20,1
79.170.40.236,1
80.67.28.246,1
80.71.144.0/20,1
80.85.86.6,1
80.237.132.180,1
80.237.132.244,1
81.2.194.62,1
81.2.194.128,1
81.2.194.176,1
81.169.145.68,1
81.169.145.83,1
81.169.145.84,1
81.169.145.88,1
81.169.145.93,1
81.169.145.94,1
81.169.145.105,1
81.169.145.144,1
81.169.145.159,1
81.169.145.160/31,1
81.177.165.51,1
82.98.135.43,1
82.100.220.53,1
82.112.184.197,1
82.220.91.188,1
83.97.20.0/24,1
83.175.0.0/18,1
84.38.224.155,1
84.238.160.0/22,1
84.246.80.0/21,1
84.246.104.0/21,1
85.13.129.76,1
85.13.132.239,1
85.13.158.14,1
85.114.135.128,1
85.121.39.0/24,1
85.128.185.12,1
85.153.47.0/24,1
85.209.4.0/22,1
85.236.47.218,1
86.55.40.0/22,1
86.104.0.0/23,1
86.104.2.0/24,1
86.104.212.0/23,1
86.104.222.0/23,1
86.104.224.0/23,1
86.105.2.0/24,1
86.105.6.0/24,1
86.105.176.0/24,1
86.105.178.0/24,1
86.105.184.0/23,1
86.105.186.0/24,1
86.105.229.0/24,1
86.105.230.0/24,1
86.105.242.0/23,1
86.106.10.0/24,1
86.106.13.0/24,1
86.106.14.0/23,1
86.106.94.0/23,1
86.106.105.0/24,1
86.106.106.0/23,1
86.106.109.0/24,1
86.106.110.0/23,1
86.106.114.0/23,1
86.106.116.0/23,1
86.106.118.0/24,1
86.106.138.0/23,1
86.106.140.0/23,1
86.106.174.0/23,1
86.107.72.0/24,1
86.107.193.0/24,1
86.107.194.0/23,1
87.98.230.60,1
87.236.144.0/21,1
87.236.160.0/21,1
87.251.74.0/24,1
88.198.56.106,1
88.214.26.0/24,1
88.218.40.0/22,1
88.218.148.0/22,1
89.31.143.1,1
89.32.43.0/24,1
89.32.170.0/24,1
89.32.202.0/24,1
89.33.46.0/23,1
89.33.116.0/24,1
89.33.134.0/24,1
89.33.198.0/23,1
89.33.200.0/23,1
89.33.206.0/24,1
89.33.250.0/23,1
89.33.254.0/23,1
89.34.0.0/24,1
89.34.4.0/24,1
89.34.102.0/24,1
89.34.104.0/23,1
89.35.54.0/24,1
89.35.89.0/24,1
89.35.90.0/24,1
89.36.38.0/23,1
89.36.136.0/24,1
89.36.138.0/23,1
89.36.141.0/24,1
89.37.92.0/23,1
89.37.94.0/24,1
89.37.96.0/24,1
89.37.129.0/24,1
89.37.130.0/23,1
89.37.132.0/23,1
89.37.134.0/24,1
89.38.240.0/24,1
89.39.69.0/24,1
89.39.212.0/24,1
89.39.215.0/24,1
89.39.241.0/24,1
89.40.138.0/24,1
89.40.140.0/23,1
89.40.207.0/24,1
89.40.209.0/24,1
89.41.27.0/24,1
89.41.28.0/23,1
89.41.49.0/24,1
89.41.50.0/23,1
89.41.189.0/24,1
89.41.190.0/23,1
89.42.10.0/24,1
89.42.152.0/23,1
89.42.154.0/24,1
89.45.82.0/24,1
89.46.47.0/24,1
89.46.108.57,1
89.107.8.0/21,1
89.188.24.70,1
89.223.109.60,1
91.121.59.137,1
91.121.154.229,1
91.132.164.0/22,1
91.174.205.10,1
91.193.75.0/24,1
91.195.240.13,1
91.195.240.82,1
91.195.240.87,1
91.197.196.0/22,1
91.199.77.50,1
91.200.12.0/22,1
91.200.81.0/24,1
91.200.82.0/23,1
91.200.133.0/24,1
91.200.164.0/24,1
91.200.248.0/22,1
91.212.28.29,1
91.216.3.0/24,1
91.218.236.0/22,1
91.220.163.0/24,1
91.223.145.130,1
91.232.18.0/24,1
91.234.99.0/24,1
91.235.130.0/23,1
91.243.90.0/23,1
91.243.93.0/24,1
91.246.176.0/21,1
91.246.200.0/24,1
92.43.203.171,1
92.53.96.22,1
92.61.39.239,1
92.63.197.0/24,1
93.89.19.124,1
93.93.200.0/21,1
93.114.51.0/24,1
93.114.52.0/23,1
93.114.54.0/24,1
93.114.58.0/23,1
93.115.59.0/24,1
93.119.118.0/23,1
93.119.120.0/23,1
93.119.124.0/23,1
93.120.34.0/24,1
93.120.46.0/24,1
93.157.104.0/21,1
93.185.103.42,1
94.102.49.0/24,1
94.102.51.0/24,1
94.124.72.0/21,1
94.130.109.30,1
94.152.8.56,1
94.154.32.0/22,1
94.154.112.0/20,1
94.229.72.116,1
94.229.72.123,1
94.247.136.0/21,1
95.130.224.0/21,1
96.30.52.60,1
96.126.123.244,1
100.64.0.0/10,1
101.42.0.0/16,1
101.101.96.0/22,1
101.134.0.0/15,1
101.192.0.0/14,1
101.203.128.0/19,1
101.248.0.0/15,1
102.192.0.0/12,1
102.208.0.0/13,1
102.216.0.0/14,1
102.220.0.0/16,1
102.221.0.0/17,1
102.221.132.0/22,1
102.221.136.0/21,1
102.221.144.0/21,1
102.221.152.0/22,1
102.221.164.0/22,1
102.221.180.0/22,1
102.221.248.0/22,1
102.222.4.0/22,1
102.222.12.0/22,1
102.222.60.0/24,1
102.222.172.0/24,1
102.222.174.0/24,1
102.223.180.0/22,1
102.223.184.0/21,1
102.228.0.0/16,1
102.232.0.0/16,1
102.240.0.0/16,1
103.1.156.0/22,1
103.4.76.0/22,1
103.4.80.0/22,1
103.4.135.0/24,1
103.4.217.55,1
103.5.149.0/24,1
103.5.216.0/22,1
103.6.119.0/24,1
103.6.120.0/21,1
103.6.160.0/23,1
103.6.166.0/24,1
103.6.232.0/22,1
103.7.120.0/22,1
103.7.192.0/22,1
103.8.64.0/22,1
103.8.184.0/22,1
103.8.192.0/22,1
103.9.140.0/22,1
103.10.68.0/22,1
103.10.108.0/24,1
103.10.111.0/24,1
103.10.127.0/24,1
103.10.192.0/22,1
103.11.196.0/22,1
103.12.0.0/24,1
103.12.85.0/24,1
103.12.180.0/22,1
103.12.204.0/22,1
103.12.224.0/22,1
103.12.244.0/24,1
103.13.4.0/22,1
103.13.72.0/23,1
103.13.136.0/22,1
103.13.164.0/22,1
103.13.182.0/24,1
103.13.192.0/22,1
103.13.204.0/22,1
103.13.232.0/22,1
103.14.0.0/24,1
103.14.22.0/23,1
103.14.56.0/22,1
103.14.148.0/24,1
103.14.150.0/23,1
103.14.154.0/23,1
103.14.168.0/22,1
103.14.208.0/22,1
103.14.224.0/22,1
103.15.12.0/22,1
103.15.38.0/24,1
103.15.88.0/21,1
103.15.156.0/23,1
103.15.160.0/22,1
103.15.212.0/22,1
103.15.220.0/22,1
103.15.227.0/24,1
103.16.4.0/23,1
103.16.76.0/24,1
103.16.116.0/22,1
103.16.208.0/23,1
103.16.212.0/22,1
103.16.248.0/22,1
103.17.4.0/22,1
103.17.32.0/22,1
103.17.148.0/22,1
103.18.44.0/22,1
103.18.112.0/22,1
103.18.184.0/22,1
103.18.188.0/24,1
103.18.204.0/22,1
103.18.232.0/22,1
103.19.28.0/22,1
103.19.48.0/22,1
103.19.120.0/22,1
103.19.156.0/22,1
103.20.16.0/24,1
103.20.50.0/24,1
103.20.88.0/24,1
103.20.96.0/21,1
103.20.108.0/22,1
103.20.198.0/23,1
103.20.219.0/24,1
103.20.228.0/22,1
103.20.240.0/22,1
103.21.4.0/22,1
103.21.68.0/22,1
103.21.96.0/22,1
103.21.100.0/23,1
103.21.102.0/24,1
103.21.188.0/22,1
103.21.195.0/24,1
103.21.220.0/22,1
103.22.96.0/22,1
103.22.216.0/22,1
103.23.8.0/22,1
103.23.28.0/24,1
103.23.68.0/23,1
103.23.88.0/21,1
103.23.124.0/22,1
103.23.148.0/23,1
103.23.172.0/23,1
103.23.196.0/22,1
103.23.252.0/22,1
103.24.52.0/22,1
103.24.68.0/22,1
103.24.78.0/23,1
103.24.88.0/22,1
103.24.192.0/23,1
103.24.196.0/22,1
103.24.232.0/22,1
103.25.164.0/24,1
103.25.184.0/22,1
103.25.220.0/24,1
103.26.24.0/21,1
103.26.116.0/22,1
103.26.176.0/22,1
103.26.188.0/22,1
103.27.192.0/22,1
103.27.255.0/24,1
103.28.16.0/22,1
103.29.0.0/22,1
103.29.8.0/22,1
103.29.29.0/24,1
103.29.60.0/22,1
103.29.80.0/22,1
103.29.180.0/22,1
103.29.236.0/22,1
103.30.8.0/21,1
103.30.60.0/22,1
103.30.72.0/22,1
103.30.104.0/22,1
103.30.192.0/22,1
103.30.212.0/24,1
103.31.8.0/22,1
103.31.40.0/22,1
103.31.116.0/22,1
103.32.0.0/16,1
103.34.0.0/16,1
103.35.114.0/23,1
103.35.152.0/22,1
103.35.176.0/22,1
103.35.216.0/24,1
103.35.219.0/24,1
103.36.64.0/22,1
103.36.70.0/24,1
103.36.250.0/24,1
103.37.4.0/22,1
103.37.22.0/23,1
103.37.88.0/22,1
103.37.96.0/23,1
103.37.98.0/24,1
103.37.184.0/22,1
103.37.202.0/23,1
103.38.8.0/24,1
103.38.52.0/22,1
103.38.108.0/22,1
103.38.180.0/22,1
103.38.208.0/22,1
103.38.216.0/23,1
103.38.220.0/22,1
103.38.236.0/22,1
103.38.244.0/22,1
103.38.248.0/22,1
103.39.32.0/22,1
103.39.68.0/22,1
103.39.72.0/22,1
103.39.120.0/23,1
103.39.124.0/22,1
103.39.144.0/22,1
103.39.196.0/22,1
103.40.52.0/23,1
103.40.156.0/22,1
103.40.166.0/23,1
103.41.72.0/21,1
103.41.92.0/22,1
103.41.112.0/22,1
103.41.168.0/24,1
103.41.248.0/22,1
103.42.4.0/22,1
103.42.12.0/22,1
103.42.18.0/24,1
103.42.50.0/23,1
103.42.52.0/22,1
103.42.60.0/22,1
103.42.128.0/22,1
103.42.164.0/22,1
103.42.200.0/22,1
103.42.204.0/24,1
103.42.220.0/22,1
103.42.228.0/22,1
103.42.240.0/21,1
103.43.24.0/22,1
103.43.60.0/22,1
103.43.94.0/23,1
103.43.164.0/22,1
103.44.8.0/22,1
103.44.19.0/24,1
103.44.152.0/22,1
103.46.4.0/22,1
103.46.8.0/22,1
103.46.184.0/22,1
103.46.199.0/24,1
103.47.8.0/22,1
103.47.128.0/22,1
103.47.180.0/22,1
103.48.40.0/22,1
103.48.117.0/24,1
103.48.160.0/22,1
103.48.200.0/24,1
103.49.48.0/22,1
103.49.70.0/23,1
103.49.100.0/22,1
103.49.112.0/22,1
103.49.124.0/23,1
103.49.146.0/24,1
103.49.150.0/24,1
103.49.164.0/22,1
103.49.236.0/22,1
103.50.20.0/22,1
103.50.149.0/24,1
103.51.62.0/23,1
103.51.84.0/22,1
103.51.88.0/22,1
103.51.96.0/22,1
103.51.104.0/22,1
103.51.120.0/22,1
103.51.129.0/24,1
103.51.204.0/22,1
103.52.4.0/23,1
103.52.6.0/24,1
103.52.63.0/24,1
103.52.112.0/22,1
103.52.133.0/24,1
103.53.28.0/22,1
103.53.156.0/22,1
103.53.160.0/22,1
103.54.76.0/22,1
103.54.80.0/22,1
103.54.108.0/23,1
103.54.168.0/22,1
103.54.176.0/22,1
103.54.228.0/22,1
103.55.4.0/22,1
103.55.20.0/22,1
103.55.178.0/24,1
103.55.224.0/22,1
103.55.240.0/22,1
103.55.248.0/21,1
103.56.0.0/22,1
103.56.80.0/22,1
103.56.92.0/22,1
103.57.64.0/22,1
103.57.96.0/22,1
103.57.128.0/22,1
103.57.224.0/23,1
103.58.119.0/24,1
103.58.180.0/23,1
103.58.196.0/22,1
103.59.160.0/22,1
103.59.216.0/22,1
103.60.4.0/22,1
103.60.88.0/21,1
103.60.97.0/24,1
103.60.188.0/22,1
103.60.204.0/22,1
103.60.240.0/22,1
103.61.4.0/22,1
103.61.16.0/22,1
103.61.40.0/24,1
103.61.120.0/22,1
103.61.232.0/22,1
103.62.148.0/22,1
103.63.24.0/23,1
103.63.191.0/24,1
103.63.232.0/24,1
103.64.128.0/22,1
103.65.116.0/22,1
103.65.120.0/21,1
103.65.128.0/20,1
103.65.204.0/22,1
103.65.220.0/22,1
103.65.224.0/22,1
103.65.240.0/22,1
103.65.248.0/22,1
103.66.38.0/24,1
103.66.60.0/22,1
103.66.168.0/23,1
103.66.228.0/22,1
103.66.236.0/22,1
103.67.24.0/23,1
103.67.40.0/21,1
103.67.48.0/20,1
103.67.64.0/19,1
103.67.96.0/22,1
103.67.160.0/22,1
103.67.186.0/23,1
103.68.24.0/24,1
103.68.26.0/24,1
103.68.56.0/23,1
103.68.84.0/22,1
103.68.95.0/24,1
103.68.126.0/23,1
103.68.139.0/24,1
103.68.212.0/22,1
103.68.232.0/22,1
103.69.2.0/23,1
103.69.60.0/22,1
103.69.129.0/24,1
103.69.160.0/22,1
103.69.200.0/22,1
103.69.236.0/22,1
103.69.255.0/24,1
103.70.12.0/22,1
103.70.36.0/23,1
103.70.176.0/22,1
103.70.226.182,1
103.71.25.0/24,1
103.71.96.0/23,1
103.71.188.0/24,1
103.71.220.0/22,1
103.72.89.0/24,1
103.72.136.0/22,1
103.72.196.0/22,1
103.72.200.0/24,1
103.72.212.0/22,1
103.73.86.0/23,1
103.73.158.0/23,1
103.73.172.0/22,1
103.73.184.0/22,1
103.73.192.0/23,1
103.73.216.0/22,1
103.74.8.0/22,1
103.74.65.0/24,1
103.74.225.0/24,1
103.75.36.0/22,1
103.75.84.0/22,1
103.76.0.0/23,1
103.76.91.0/24,1
103.76.96.0/22,1
103.76.104.0/21,1
103.76.116.0/22,1
103.76.120.0/22,1
103.76.128.0/22,1
103.76.162.0/23,1
103.76.178.0/24,1
103.76.192.0/22,1
103.77.14.0/24,1
103.77.32.0/22,1
103.77.81.0/24,1
103.78.51.0/24,1
103.78.186.0/23,1
103.78.240.0/24,1
103.79.48.0/22,1
103.79.128.0/22,1
103.79.229.0/24,1
103.79.236.0/22,1
103.79.244.0/22,1
103.80.8.0/22,1
103.80.78.0/23,1
103.80.131.0/24,1
103.80.212.0/22,1
103.80.228.0/22,1
103.81.28.0/22,1
103.81.55.0/24,1
103.81.103.0/24,1
103.81.108.0/22,1
103.81.245.0/24,1
103.81.252.0/22,1
103.82.92.0/22,1
103.82.200.0/22,1
103.82.246.0/24,1
103.83.28.0/22,1
103.83.132.0/22,1
103.83.151.0/24,1
103.83.162.0/23,1
103.83.236.0/22,1
103.84.56.0/22,1
103.84.100.0/22,1
103.84.104.0/22,1
103.84.168.0/22,1
103.84.196.0/22,1
103.84.204.0/22,1
103.85.52.0/22,1
103.85.56.0/22,1
103.85.132.0/23,1
103.85.180.0/22,1
103.85.184.0/22,1
103.85.244.0/22,1
103.86.116.0/22,1
103.86.128.0/23,1
103.87.148.0/22,1
103.88.52.0/24,1
103.88.79.0/24,1
103.88.88.0/22,1
103.88.139.0/24,1
103.88.152.0/23,1
103.89.36.0/24,1
103.89.44.0/22,1
103.89.240.0/22,1
103.90.15.0/24,1
103.90.60.0/22,1
103.91.55.0/24,1
103.91.60.0/23,1
103.91.112.0/23,1
103.91.137.0/24,1
103.91.138.0/23,1
103.91.195.0/24,1
103.91.224.0/22,1
103.92.16.0/24,1
103.92.106.0/23,1
103.93.18.0/24,1
103.93.20.0/22,1
103.93.27.0/24,1
103.93.32.0/22,1
103.93.93.0/24,1
103.93.212.0/22,1
103.94.100.0/23,1
103.94.140.0/22,1
103.94.245.0/24,1
